exercise_library_id	body_part_id
1	4,5
2	19
3	19,20
4	7
5	7,8
6	4,5
7	2,3
8	18
9	16,17
10	1,2
11	11
12	21
13	21
14	16
15	8
16	16,20
17	10
18	2
19	2
20	13,14
21	1,2
22	2,3
23	4,5
24	16,19,20
25	22
26	4,5
27	10
28	21
29	2
30	2
31	22
32	16,19,20
33	16,19,20
34	16,19,20
35	7,8,16,19,20
36	22
37	16,20
38	11
39	22
40	22
41	10
42	16,19,20
43	16,19,20
44	16,20
45	7,8
46	4
47	22
48	7,8
49	1,2
50	7,8
51	16,20,21,22
52	10
53	7,8
54	4,5
55	3
56	16,19,20
57	16,19,20
58	6,16,19
59	11
60	4,5
61	7,8
62	6,16,20
63	22
64	7
65	16,18,19,20
66	11
67	6,16,20
68	4,5
69	4,5
70	22
71	16,17,18,19,20
72	16,17,19,20
73	3,2
74	16,19,20
75	16,19,20
76	1,2
77	11
78	7
79	4,5,2
80	3,2
81	16,19,20,7,8
82	4,5
83	19
84	19,20
85	7
86	7,8
87	4,5
88	2,3
89	1,2
90	11
91	21
92	21
93	16
94	16,20
95	10
96	2
97	2
98	13,14
99	1,2
100	2,3
101	4,5
102	22
103	22
104	22
105	16,20
106	18,19,20
107	17,19,20
108	19,20
109	19,20
110	1,2
111	1,2
112	1
113	3
114	1,4
115	7,8
116	8
117	7
118	9
119	8,4
120	10
121	10
122	10
123	10
124	10
125	11
126	11
127	11
128	5,6
129	5,6
130	5,6
131	4
132	6,20
133	19,20
134	19,20 
135	19,20
136	21
137	13,14,15
138	13
139	15
140	13,14,15
141	13,14,5
142	22
143	6,16
144	22
145	22
146	19,20
147	19,7
148	5
149	4,5
150	6,20
151	16,20
152	19,20
153	19,20
154	6,20
155	6,20
156	7,8
157	9
158	13,14
159	10
160	11,1
161	19,20
162	19,20
163	17,19
164	19,20
165	18,19
166	22
167	22
168	22
169	22
170	10
171	10
172	10
173	11
174	1
175	3
176	2
177	4,9
178	19,4
179	5
180	19,4
181	21
182	21
183	21
184	12
185	12
186	1,4
