id,equipment_type,is_machine,name
1,weight,TRUE,Calf_Raise_machine
2,weight,TRUE,Glute_Press_machine
3,weight,TRUE,Lateral_Shoulder_Raise_machine
4,weight,TRUE,Lying_Hamstrings_Curl_machine
5,weight,TRUE,Biceps_Curl_machine
6,weight,TRUE,Seated_Chest_Press_machine
7,weight,TRUE,Seated_Incline_Chest_Press_machine
8,weight,TRUE,Seated_Crunch_machine
9,weight,TRUE,Seated_Rows_machine
10,weight,TRUE,Seated Cable_Row_machine
11,weight,TRUE,Lat Pulldown_machine
12,weight,TRUE,Cable_Lat_Pulldown_machine
13,weight,TRUE,Assisted_Pull_up_machine
14,weight,TRUE,Leg_Extension_machine
15,weight,TRUE,Seated_Leg_Press_machine
16,weight,TRUE,Seated_Shoulder_Press_machine
17,weight,TRUE,Tricep_Extension_machine
18,weight,TRUE,Cable_1_machine
19,weight,TRUE,Cable_2_machine
20,weight,TRUE,Hip_Adduction/Abduction_machine
21,weight,TRUE,"Decline_,machine"
100,other,FASLE,dumbbells
101,other,FASLE,barbell
102,other,FASLE,bench
103,other,FASLE,resistance band
104,other,FASLE,bosu
105,other,FASLE,trx
106,other,FASLE,box
107,other,FASLE,stability ball
108,other,FASLE,medicine ball
109,other,FASLE,body weight
110,other,FASLE,pull up bar
111,other,FASLE,ladder
112,other,FASLE,kettlebells
113,other,FASLE,heavy ropes
120,cardio,TRUE,Treadmill
121,cardio,TRUE,Elliptical
122,cardio,TRUE,Step_machine
123,cardio,TRUE,Stationary_bike
124,cardio,TRUE,Rowing
125,cardio,TRUE,Indoor_cycling
126,cardio,TRUE,Recumbent_bike
